"","cell_id","group"
"aajbbckl-1","aajbbckl-1","Not-mapped"
"aajbkial-1","aajbkial-1","AEC"
"aajcdhji-1","aajcdhji-1","GMP"
"aajdedhh-1","aajdedhh-1","Not-mapped"
"aajdmoji-1","aajdmoji-1","RBC"
"aajegjpe-1","aajegjpe-1","Not-mapped"
"aajggphb-1","aajggphb-1","Not-mapped"
"aajhedop-1","aajhedop-1","Not-mapped"
"aajhkalg-1","aajhkalg-1","Not-mapped"
"aajkcgja-1","aajkcgja-1","Late Erythroid"
"aajnipob-1","aajnipob-1","Not-mapped"
"aajnlinm-1","aajnlinm-1","Not-mapped"
"aakcdjka-1","aakcdjka-1","Cycling HSPC"
"aakfmclf-1","aakfmclf-1","Not-mapped"
"aakiecig-1","aakiecig-1","Not-mapped"
"aakjihgi-1","aakjihgi-1","Not-mapped"
"aakkcbaj-1","aakkcbaj-1","Not-mapped"
"aakkeiop-1","aakkeiop-1","Ba/Eo/Ma"
"aakkkank-1","aakkkank-1","Not-mapped"
"aakkkfan-1","aakkkfan-1","Mature B"
"aaklcfbb-1","aaklcfbb-1","Not-mapped"
"aakmadpm-1","aakmadpm-1","Not-mapped"
"aakmlccj-1","aakmlccj-1","Plasma Cell"
"aaknoiam-1","aaknoiam-1","Not-mapped"
"aakomipp-1","aakomipp-1","Not-mapped"
"aalajjgi-1","aalajjgi-1","Not-mapped"
"aalcbnip-1","aalcbnip-1","Not-mapped"
"aalcdfkm-1","aalcdfkm-1","Not-mapped"
"aalchmmi-1","aalchmmi-1","Not-mapped"
"aalefadb-1","aalefadb-1","Not-mapped"
"aalgnall-1","aalgnall-1","Not-mapped"
"aalhccog-1","aalhccog-1","Not-mapped"
"aalhmaop-1","aalhmaop-1","Osteoblast"
"aalhmdob-1","aalhmdob-1","Plasma Cell"
"aalihjec-1","aalihjec-1","Mature B"
"aalinbol-1","aalinbol-1","Not-mapped"
"aalipnlk-1","aalipnlk-1","Osteoblast"
"aallblog-1","aallblog-1","Not-mapped"
"aalldlnp-1","aalldlnp-1","Not-mapped"
"aalpjenj-1","aalpjenj-1","Not-mapped"
"aambhpld-1","aambhpld-1","RNAlo MSC"
"aamdclgc-1","aamdclgc-1","Not-mapped"
"aamebbga-1","aamebbga-1","Not-mapped"
"aamjceem-1","aamjceem-1","AEC"
"aamjmooa-1","aamjmooa-1","Not-mapped"
"aamkljgk-1","aamkljgk-1","Early Myeloid Progenitor"
"aamlbdkc-1","aamlbdkc-1","Not-mapped"
"aamlehnf-1","aamlehnf-1","Not-mapped"
"aampdejl-1","aampdejl-1","Osteo-MSC"
"aampjlgm-1","aampjlgm-1","Not-mapped"
"aampkckh-1","aampkckh-1","Not-mapped"
"aanbeahn-1","aanbeahn-1","AEC"
"aancomip-1","aancomip-1","Not-mapped"
"aangldfj-1","aangldfj-1","Not-mapped"
"aaniaflm-1","aaniaflm-1","RBC"
"aanicicn-1","aanicicn-1","Plasma Cell"
"aankncep-1","aankncep-1","AEC"
"aanmagcd-1","aanmagcd-1","Not-mapped"
"aanmmggl-1","aanmmggl-1","Not-mapped"
"aanoemgj-1","aanoemgj-1","Not-mapped"
"aanonpfe-1","aanonpfe-1","pDC"
"aanpoado-1","aanpoado-1","Not-mapped"
"aaocbdgm-1","aaocbdgm-1","AEC"
"aaodbgio-1","aaodbgio-1","Osteo-MSC"
"aaodcfkg-1","aaodcfkg-1","RBC"
"aaoeedgo-1","aaoeedgo-1","Neutrophil"
"aaofdcbl-1","aaofdcbl-1","pDC"
"aaoflkdp-1","aaoflkdp-1","Late Myeloid"
"aaogoobk-1","aaogoobk-1","Not-mapped"
"aaohjaig-1","aaohjaig-1","Not-mapped"
"aaojbeca-1","aaojbeca-1","Not-mapped"
"aaoloblg-1","aaoloblg-1","Not-mapped"
"aaonpdck-1","aaonpdck-1","Not-mapped"
"aapaehpo-1","aapaehpo-1","Not-mapped"
"aapaglbb-1","aapaglbb-1","Not-mapped"
"aapdaagl-1","aapdaagl-1","Osteo-MSC"
"aapeijgm-1","aapeijgm-1","Not-mapped"
"aapfjfgi-1","aapfjfgi-1","Osteo-MSC"
"aapgpkjf-1","aapgpkjf-1","Not-mapped"
"aaphhemf-1","aaphhemf-1","Monocyte"
"aapicipi-1","aapicipi-1","Monocyte"
"aapjahnh-1","aapjahnh-1","Neutrophil"
"aapjoeig-1","aapjoeig-1","RBC"
"abaagjam-1","abaagjam-1","Not-mapped"
"abaagjpl-1","abaagjpl-1","CD8+ T-Cell"
"abaaoghf-1","abaaoghf-1","Not-mapped"
"ababhfkc-1","ababhfkc-1","Not-mapped"
"abacbggg-1","abacbggg-1","Not-mapped"
"abadmhia-1","abadmhia-1","Not-mapped"
"abafdobk-1","abafdobk-1","CD8+ T-Cell"
"abafkdhi-1","abafkdhi-1","CD8+ T-Cell"
"abahjkci-1","abahjkci-1","Not-mapped"
"abainllp-1","abainllp-1","CD8+ T-Cell"
"abajdepk-1","abajdepk-1","Not-mapped"
"abakmpmh-1","abakmpmh-1","Mature B"
"abamomfc-1","abamomfc-1","Not-mapped"
"abanfkja-1","abanfkja-1","Neutrophil"
"abaokndl-1","abaokndl-1","Not-mapped"
"abapnpgc-1","abapnpgc-1","Mature B"
"abbablio-1","abbablio-1","Not-mapped"
"abbalnan-1","abbalnan-1","Not-mapped"
"abbbmfhh-1","abbbmfhh-1","Not-mapped"
"abbcebje-1","abbcebje-1","Not-mapped"
"abbchica-1","abbchica-1","Late Myeloid"
"abbcijhg-1","abbcijhg-1","Not-mapped"
"abbcmcid-1","abbcmcid-1","Not-mapped"
"abbdeinc-1","abbdeinc-1","Late Erythroid"
"abbdofbc-1","abbdofbc-1","Not-mapped"
"abbepdbd-1","abbepdbd-1","Late Erythroid"
"abbfejpo-1","abbfejpo-1","Not-mapped"
"abbfhlno-1","abbfhlno-1","Not-mapped"
"abbhhbca-1","abbhhbca-1","Not-mapped"
"abbiiiln-1","abbiiiln-1","Osteoblast"
"abbjagje-1","abbjagje-1","GMP"
"abbkhbfh-1","abbkhbfh-1","Osteoblast"
"abbnmmmn-1","abbnmmmn-1","Not-mapped"
"abbpmlld-1","abbpmlld-1","Osteo-MSC"
"abcbebpi-1","abcbebpi-1","Not-mapped"
"abceappg-1","abceappg-1","Not-mapped"
"abcfekon-1","abcfekon-1","CD8+ T-Cell"
"abcfpphb-1","abcfpphb-1","Early Myeloid Progenitor"
"abcgbnbh-1","abcgbnbh-1","pDC"
"abcgebad-1","abcgebad-1","AEC"
"abcggpkf-1","abcggpkf-1","Not-mapped"
"abcicaob-1","abcicaob-1","Not-mapped"
"abcmkaeb-1","abcmkaeb-1","CD4+ T-Cell"
"abcommdm-1","abcommdm-1","Not-mapped"
"abcpmgak-1","abcpmgak-1","Not-mapped"
"abdaefce-1","abdaefce-1","Not-mapped"
"abdbfanb-1","abdbfanb-1","Neutrophil"
"abdbodnm-1","abdbodnm-1","Not-mapped"
"abddlodo-1","abddlodo-1","Not-mapped"
"abdejena-1","abdejena-1","Not-mapped"
"abdeohmm-1","abdeohmm-1","Not-mapped"
"abdfbobi-1","abdfbobi-1","Late Erythroid"
"abdkdhdc-1","abdkdhdc-1","Not-mapped"
"abdkfcoa-1","abdkfcoa-1","AEC"
"abdklfph-1","abdklfph-1","AEC"
"abdngbim-1","abdngbim-1","Not-mapped"
"abdngioo-1","abdngioo-1","CD8+ T-Cell"
"abeafhfp-1","abeafhfp-1","RBC"
"abeaihaa-1","abeaihaa-1","Not-mapped"
"abeceiem-1","abeceiem-1","AEC"
"abegjipk-1","abegjipk-1","Not-mapped"
"abehhpfk-1","abehhpfk-1","Not-mapped"
"abehibpj-1","abehibpj-1","Not-mapped"
"abeidegj-1","abeidegj-1","Not-mapped"
"abejfbji-1","abejfbji-1","Ba/Eo/Ma"
"abekbibg-1","abekbibg-1","Not-mapped"
"abelgflp-1","abelgflp-1","Not-mapped"
"abemldag-1","abemldag-1","RBC"
"abepgmmn-1","abepgmmn-1","Not-mapped"
"abeplilo-1","abeplilo-1","Not-mapped"
"abfapigd-1","abfapigd-1","CD8+ T-Cell"
"abfbhiij-1","abfbhiij-1","Not-mapped"
"abfcbbdl-1","abfcbbdl-1","Not-mapped"
"abfdjhob-1","abfdjhob-1","Not-mapped"
"abffdied-1","abffdied-1","Late Erythroid"
"abfijmhe-1","abfijmhe-1","Not-mapped"
"abfmbbbl-1","abfmbbbl-1","AEC"
"abfnpafd-1","abfnpafd-1","Not-mapped"
"abfogfnh-1","abfogfnh-1","Not-mapped"
"abgbcblj-1","abgbcblj-1","Not-mapped"
"abgbdgea-1","abgbdgea-1","Not-mapped"
"abgbkklb-1","abgbkklb-1","Late Erythroid"
"abgbklfh-1","abgbklfh-1","Not-mapped"
"abgdnjgd-1","abgdnjgd-1","Late Erythroid"
"abghboeh-1","abghboeh-1","Late Erythroid"
"abgiijeg-1","abgiijeg-1","Late Erythroid"
"abgjjcnn-1","abgjjcnn-1","Late Erythroid"
"abgjjibb-1","abgjjibb-1","Late Erythroid"
"abgmhile-1","abgmhile-1","Late Erythroid"
"abgnefga-1","abgnefga-1","Late Erythroid"
"abgohfmn-1","abgohfmn-1","Not-mapped"
"abgojnkh-1","abgojnkh-1","Late Erythroid"
"abhagmni-1","abhagmni-1","Late Erythroid"
"abhamdjc-1","abhamdjc-1","Late Erythroid"
"abhamhmi-1","abhamhmi-1","Late Erythroid"
"abhcdcdm-1","abhcdcdm-1","Not-mapped"
"abhdaefp-1","abhdaefp-1","Late Erythroid"
"abhdgmjb-1","abhdgmjb-1","Late Erythroid"
"abhgbmkg-1","abhgbmkg-1","Not-mapped"
"abhiiaep-1","abhiiaep-1","Early Myeloid Progenitor"
"abhikiab-1","abhikiab-1","Late Erythroid"
"abhinbom-1","abhinbom-1","Late Erythroid"
"abhpehca-1","abhpehca-1","Not-mapped"
"abiaplfd-1","abiaplfd-1","Late Erythroid"
"abicbcei-1","abicbcei-1","Not-mapped"
"abihjegl-1","abihjegl-1","pDC"
"abiipcli-1","abiipcli-1","Not-mapped"
"abijhidf-1","abijhidf-1","Not-mapped"
"abiknfep-1","abiknfep-1","Late Erythroid"
"abillcko-1","abillcko-1","Late Erythroid"
"abilpfem-1","abilpfem-1","RBC"
"abioaoga-1","abioaoga-1","Early Myeloid Progenitor"
"abiokepg-1","abiokepg-1","pDC"
"abjbghji-1","abjbghji-1","SEC"
"abjblnna-1","abjblnna-1","Pre-B"
"abjenhij-1","abjenhij-1","Not-mapped"
"abjgemkp-1","abjgemkp-1","Late Erythroid"
"abjhbgae-1","abjhbgae-1","Not-mapped"
"abjhmbia-1","abjhmbia-1","Not-mapped"
"abjidega-1","abjidega-1","Late Erythroid"
"abjjfiim-1","abjjfiim-1","Late Erythroid"
"abjkibee-1","abjkibee-1","Not-mapped"
"abjlegfn-1","abjlegfn-1","Not-mapped"
"abjlfipc-1","abjlfipc-1","RBC"
"abjnodgg-1","abjnodgg-1","Not-mapped"
