"","cell_id","group"
"aaadhoii-1","aaadhoii-1","Not-mapped"
"aaadnbkk-1","aaadnbkk-1","Not-mapped"
"aaaeoodc-1","aaaeoodc-1","Not-mapped"
"aaaghpko-1","aaaghpko-1","Mature B"
"aaahnijb-1","aaahnijb-1","Not-mapped"
"aaaiacfc-1","aaaiacfc-1","Not-mapped"
"aaaiajeb-1","aaaiajeb-1","Early Myeloid Progenitor"
"aaajgaop-1","aaajgaop-1","Not-mapped"
"aaajjgoo-1","aaajjgoo-1","Not-mapped"
"aaajjjib-1","aaajjjib-1","Not-mapped"
"aaaminii-1","aaaminii-1","Not-mapped"
"aaamiphd-1","aaamiphd-1","CD8+ T-Cell"
"aaamlnda-1","aaamlnda-1","Not-mapped"
"aaancfni-1","aaancfni-1","Mature B"
"aabaclbb-1","aabaclbb-1","Not-mapped"
"aabciphm-1","aabciphm-1","Not-mapped"
"aabckgen-1","aabckgen-1","Not-mapped"
"aabckjff-1","aabckjff-1","Not-mapped"
"aabdmcjl-1","aabdmcjl-1","Not-mapped"
"aabecdfg-1","aabecdfg-1","CD4+ T-Cell"
"aabgeaic-1","aabgeaic-1","CD8+ T-Cell"
"aabhhojm-1","aabhhojm-1","Not-mapped"
"aabjbnfe-1","aabjbnfe-1","AEC"
"aablbjai-1","aablbjai-1","Not-mapped"
"aabmgegb-1","aabmgegb-1","Adipo-MSC"
"aabnjiic-1","aabnjiic-1","Not-mapped"
"aabpgkim-1","aabpgkim-1","Not-mapped"
"aabplkne-1","aabplkne-1","Not-mapped"
"aacbehdk-1","aacbehdk-1","Not-mapped"
"aacbmncn-1","aacbmncn-1","Not-mapped"
"aaccnbkk-1","aaccnbkk-1","CD8+ T-Cell"
"aacehclk-1","aacehclk-1","Late Erythroid"
"aacejoom-1","aacejoom-1","Late Erythroid"
"aacfepfe-1","aacfepfe-1","Late Erythroid"
"aacghcac-1","aacghcac-1","Not-mapped"
"aacgmcog-1","aacgmcog-1","Not-mapped"
"aachpfbb-1","aachpfbb-1","Not-mapped"
"aacikcpb-1","aacikcpb-1","Not-mapped"
"aacjanjb-1","aacjanjb-1","Not-mapped"
"aacjlgia-1","aacjlgia-1","Late Erythroid"
"aackhpmd-1","aackhpmd-1","Not-mapped"
"aaclhccj-1","aaclhccj-1","Adipo-MSC"
"aacnbaoa-1","aacnbaoa-1","Not-mapped"
"aacoidbl-1","aacoidbl-1","Not-mapped"
"aacpemlc-1","aacpemlc-1","Plasma Cell"
"aadaajde-1","aadaajde-1","Not-mapped"
"aadbmbec-1","aadbmbec-1","Neutrophil"
"aadbpnnd-1","aadbpnnd-1","Not-mapped"
"aaddalol-1","aaddalol-1","Not-mapped"
"aadecpii-1","aadecpii-1","Not-mapped"
"aadfcdho-1","aadfcdho-1","Not-mapped"
"aadgfohg-1","aadgfohg-1","Monocyte"
"aadhdked-1","aadhdked-1","Not-mapped"
"aadheall-1","aadheall-1","Not-mapped"
"aadhmcpg-1","aadhmcpg-1","Not-mapped"
