cell_id,group
aappmppi-1,Fibro-MSC
ababjpkk-1,Fibro-MSC
ababkbci-1,CD4+ T-Cell
abaclkje-1,Mature B
abadcmbb-1,Pre-Pro B
abadiddf-1,Adipo-MSC
abadpkpf-1,Fibro-MSC
abakinam-1,RBC
abanbifd-1,RBC
abanllbj-1,RBC
abapggok-1,Osteo-MSC
abbdhmlh-1,Adipo-MSC
abbdipjl-1,Plasma Cell
abbepmne-1,Ba/Eo/Ma
abbfejpe-1,HSC
abbifkif-1,Fibro-MSC
abboacac-1,HSC
abcblcog-1,Early Myeloid Progenitor
abcceaag-1,GMP
abcdlcig-1,RBC
abcdmfjo-1,SEC
abcefghe-1,Late Myeloid
abcfcigc-1,Monocyte
abcfoomn-1,Pre-B
abcgdchj-1,Plasma Cell
abchlneb-1,Early Myeloid Progenitor
abcjpbhd-1,Late Erythroid
abckdgdb-1,Fibro-MSC
abckikhm-1,RBC
abckokoc-1,Pro-B
abclcmbd-1,CLP
abcmlhbk-1,Pro-B
abcnegnk-1,Pro-B
abcnnjpk-1,Pro-B
abdbjedm-1,THY1+ MSC
abdealno-1,Ba/Eo/Ma
abdedcpj-1,Pro-B
abdfeloh-1,Neutrophil
abdhfcei-1,GMP
abdhjmbo-1,Late Myeloid
abdhknnb-1,CLP
abdifmfp-1,RBC
abdipani-1,RBC
abdkecbb-1,CD8+ T-Cell
abdkigni-1,Neutrophil
abdnibgj-1,THY1+ MSC
abdpgabl-1,RBC
abeddaoj-1,CD8+ T-Cell
abefgadn-1,Late Myeloid
abefhike-1,Late Myeloid
abefmind-1,Fibro-MSC
abegccfn-1,Late Myeloid
abeghpef-1,Late Myeloid
abeinmib-1,RBC
abejgeff-1,Late Erythroid
abekhmam-1,Late Erythroid
abelplgo-1,Erythroblast
abenhmhh-1,Late Erythroid
abeohjca-1,Monocyte
abfanhpp-1,Late Myeloid
abfanneh-1,Neutrophil
abfbbjpf-1,Neutrophil
abfcdmki-1,Macrophages
abfchddh-1,Erythroblast
abfdfbjf-1,Late Myeloid
abffidjc-1,RBC
abfgljfh-1,Late Myeloid
abfjdaoj-1,CLP
abfjjdda-1,Plasma Cell
abfjjeed-1,Neutrophil
abfkegfk-1,Pro-B
abflpedb-1,Pro-B
abflpleb-1,Pro-B
abfmacoh-1,VSMC
abfmpjcj-1,HSC
abfnnchj-1,CD4+ T-Cell
abfolihj-1,RBC
abfpdfoc-1,CD4+ T-Cell
abfppjob-1,Neutrophil
abgapfnh-1,Adipo-MSC
abggjkdh-1,THY1+ MSC
abgidmja-1,Adipo-MSC
abgigcig-1,CLP
abgnalne-1,Pro-B
abgnmpoj-1,Late Erythroid
abgonkan-1,APOD+ MSC
abhacdhd-1,Fibro-MSC
abhcccdl-1,GMP
abhclcbk-1,pDC
abhcpkli-1,GMP
abhecgho-1,CLP
abhighha-1,GMP
abhijgem-1,RBC
abhilllc-1,HSC
abhnpihg-1,THY1+ MSC
abibbimd-1,THY1+ MSC
abicecka-1,Ba/Eo/Ma
abicoolo-1,THY1+ MSC
abicpdci-1,Cycling HSPC
abidaajb-1,Late Myeloid
abieaonl-1,Pro-B
abieclhd-1,Mature B
abifoepn-1,Early Myeloid Progenitor
abigheck-1,Pre-B
abihdmla-1,Neutrophil
abihgpmh-1,Late Erythroid
abihlpli-1,Late Myeloid
abikbnlh-1,GMP
abilalap-1,Fibro-MSC
abilmnjb-1,Neutrophil
abilobmi-1,Megakaryocyte
abippkok-1,Neutrophil
abjbdnki-1,RBC
abjcldpc-1,Neutrophil
abjdnapi-1,RBC
abjehcbo-1,Pre-B
abjehcmk-1,GMP
abjfalap-1,Pro-B
abjfepjn-1,Ba/Eo/Ma
abjfjedb-1,Late Myeloid
abjhmpcf-1,RBC
abjkhigm-1,MEP
abjkhima-1,Late Erythroid
abjmiajc-1,Pre-B
abjmjhlp-1,Ba/Eo/Ma
abjmodip-1,RBC
abjnlijj-1,Erythroblast
abkccmdb-1,Pre-B
abkcjhel-1,Late Myeloid
abkdiolf-1,Pre-Pro B
abkfepnb-1,Adipo-MSC
abkghibk-1,Late Erythroid
abkhbjna-1,Pro-B
abkjgdnm-1,Late Myeloid
abkkdgel-1,Early Myeloid Progenitor
abkkedhb-1,Late Myeloid
abkkkehj-1,GMP
abklhfod-1,Late Myeloid
abknhhgm-1,GMP
abkpdheo-1,RBC
ablafjpl-1,RBC
ablagfed-1,Late Myeloid
ablaghce-1,Late Myeloid
ablcpmln-1,Late Myeloid
ablfmjan-1,RBC
ablhlnfg-1,Late Myeloid
abljfjpo-1,Neutrophil
abljheph-1,RBC
abljhgol-1,APOD+ MSC
ablknbmc-1,RBC
