"","cell_id","group"
"aagghmal-1","aagghmal-1","Late Myeloid"
"aagkcmoc-1","aagkcmoc-1","Late Erythroid"
"aaglepkk-1","aaglepkk-1","Late Erythroid"
"aaglgonn-1","aaglgonn-1","Late Erythroid"
"aagllaff-1","aagllaff-1","Late Erythroid"
"aagmehed-1","aagmehed-1","Late Erythroid"
"aagnmeob-1","aagnmeob-1","Late Erythroid"
"aahadiee-1","aahadiee-1","Late Erythroid"
"aahchijp-1","aahchijp-1","Late Erythroid"
"aahchjal-1","aahchjal-1","Late Erythroid"
"aahclloe-1","aahclloe-1","Late Erythroid"
"aaheljph-1","aaheljph-1","Late Erythroid"
"aahhcehf-1","aahhcehf-1","Late Erythroid"
"aahmhidk-1","aahmhidk-1","RBC"
"aahmhobn-1","aahmhobn-1","Early Myeloid Progenitor"
"aahmlblk-1","aahmlblk-1","Pre-Pro B"
"aahmmjdg-1","aahmmjdg-1","Late Erythroid"
"aahnlgdp-1","aahnlgdp-1","Early Myeloid Progenitor"
"aahnmjpb-1","aahnmjpb-1","Late Myeloid"
"aahpbjdi-1","aahpbjdi-1","Late Erythroid"
"aahpknon-1","aahpknon-1","Late Erythroid"
"aaiabojj-1","aaiabojj-1","Late Erythroid"
"aaiaghpe-1","aaiaghpe-1","GMP"
"aaibbhdl-1","aaibbhdl-1","GMP"
"aaicajge-1","aaicajge-1","Neutrophil"
"aaicgaak-1","aaicgaak-1","SEC"
"aaideiec-1","aaideiec-1","Monocyte"
"aaielahj-1","aaielahj-1","Early Myeloid Progenitor"
"aaignojo-1","aaignojo-1","Cycling HSPC"
"aaiigmec-1","aaiigmec-1","GMP"
"aaiipmai-1","aaiipmai-1","Early Myeloid Progenitor"
"aaijjghm-1","aaijjghm-1","Late Erythroid"
"aaikpmcf-1","aaikpmcf-1","GMP"
"aaikpodi-1","aaikpodi-1","Late Erythroid"
"aainajpi-1","aainajpi-1","Late Erythroid"
"aaipcngi-1","aaipcngi-1","Neutrophil"
"aaiphapb-1","aaiphapb-1","Late Erythroid"
"aajamkpg-1","aajamkpg-1","Early Myeloid Progenitor"
"aajbbdaf-1","aajbbdaf-1","Early Myeloid Progenitor"
"aajcnkdn-1","aajcnkdn-1","Late Erythroid"
"aajecpid-1","aajecpid-1","Late Erythroid"
"aajeehda-1","aajeehda-1","RBC"
"aajfoebk-1","aajfoebk-1","Ba/Eo/Ma"
"aajfooja-1","aajfooja-1","Mature B"
"aajfpeae-1","aajfpeae-1","MPP"
"aajhbnmm-1","aajhbnmm-1","Late Erythroid"
"aajhflba-1","aajhflba-1","Early Myeloid Progenitor"
"aajidhgi-1","aajidhgi-1","GMP"
"aajjafie-1","aajjafie-1","CD4+ T-Cell"
"aajkglmc-1","aajkglmc-1","Late Erythroid"
"aajmibmj-1","aajmibmj-1","Neutrophil"
"aajmnoij-1","aajmnoij-1","Pre-Pro B"
"aajocopf-1","aajocopf-1","Cycling HSPC"
"aajoimjg-1","aajoimjg-1","Early Myeloid Progenitor"
"aajopnoo-1","aajopnoo-1","Adipo-MSC"
"aakahpgf-1","aakahpgf-1","SEC"
"aakapbcg-1","aakapbcg-1","RBC"
"aakbfpng-1","aakbfpng-1","Cycling HSPC"
"aakcmecm-1","aakcmecm-1","Late Erythroid"
"aakeenge-1","aakeenge-1","GMP"
"aakfbgjl-1","aakfbgjl-1","Neutrophil"
"aakfhijm-1","aakfhijm-1","Late Myeloid"
"aakfhjjh-1","aakfhjjh-1","RBC"
"aakfkebk-1","aakfkebk-1","RBC"
"aakghnne-1","aakghnne-1","Early Myeloid Progenitor"
"aakhfmbm-1","aakhfmbm-1","Late Myeloid"
"aakhgbhm-1","aakhgbhm-1","Adipo-MSC"
"aakhmpam-1","aakhmpam-1","Late Erythroid"
