"","cell_id","group"
"aakccgfj-1","aakccgfj-1","Neutrophil"
"aakeiljk-1","aakeiljk-1","Not-mapped"
"aakfinae-1","aakfinae-1","Not-mapped"
"aakimndo-1","aakimndo-1","Not-mapped"
"aakjpkcf-1","aakjpkcf-1","Not-mapped"
"aaklkiaf-1","aaklkiaf-1","Not-mapped"
"aaklnfgf-1","aaklnfgf-1","Not-mapped"
"aakmidii-1","aakmidii-1","CD8+ T-Cell"
"aakmkfgh-1","aakmkfgh-1","Neutrophil"
"aakmpdfh-1","aakmpdfh-1","Late Erythroid"
"aaknjbdo-1","aaknjbdo-1","Late Erythroid"
"aakphdog-1","aakphdog-1","Late Erythroid"
"aakpoojj-1","aakpoojj-1","Late Erythroid"
"aalabpgp-1","aalabpgp-1","Not-mapped"
"aalbpmch-1","aalbpmch-1","Monocyte"
"aalcjhbe-1","aalcjhbe-1","Late Myeloid"
"aalcpofm-1","aalcpofm-1","Late Erythroid"
"aaldlnhj-1","aaldlnhj-1","Not-mapped"
"aalficgi-1","aalficgi-1","RBC"
"aalfldbl-1","aalfldbl-1","Not-mapped"
"aalgmfdf-1","aalgmfdf-1","Late Erythroid"
"aalhjlom-1","aalhjlom-1","Late Erythroid"
"aalidhed-1","aalidhed-1","Neutrophil"
"aaliodii-1","aaliodii-1","Not-mapped"
"aaljnbdo-1","aaljnbdo-1","Late Erythroid"
"aaljogch-1","aaljogch-1","Late Erythroid"
"aalkcllc-1","aalkcllc-1","Late Erythroid"
"aalkjmbp-1","aalkjmbp-1","Not-mapped"
"aalmlafm-1","aalmlafm-1","RBC"
"aalolnkg-1","aalolnkg-1","Late Erythroid"
"aalomnjf-1","aalomnjf-1","GMP"
"aalonhnd-1","aalonhnd-1","Late Erythroid"
"aalpmpen-1","aalpmpen-1","Late Erythroid"
"aamaoggh-1","aamaoggh-1","Not-mapped"
"aamdijal-1","aamdijal-1","Not-mapped"
"aamdninj-1","aamdninj-1","Late Erythroid"
"aamdofhd-1","aamdofhd-1","Late Erythroid"
"aamfchoe-1","aamfchoe-1","Pre-Pro B"
"aamfilej-1","aamfilej-1","Late Erythroid"
"aamfndbn-1","aamfndbn-1","Not-mapped"
"aamgodbd-1","aamgodbd-1","Late Erythroid"
"aamgpjja-1","aamgpjja-1","Not-mapped"
"aamimdpc-1","aamimdpc-1","Not-mapped"
"aamkapmm-1","aamkapmm-1","Not-mapped"
"aamkcpkp-1","aamkcpkp-1","Not-mapped"
"aamlfhfm-1","aamlfhfm-1","Monocyte"
"aammbadp-1","aammbadp-1","Plasma Cell"
"aamnbdpi-1","aamnbdpi-1","RBC"
"aamnnbnd-1","aamnnbnd-1","Not-mapped"
"aamolhfj-1","aamolhfj-1","CD4+ T-Cell"
"aampnkef-1","aampnkef-1","Plasma Cell"
"aanbehpl-1","aanbehpl-1","Late Myeloid"
"aanceama-1","aanceama-1","Not-mapped"
"aancjggl-1","aancjggl-1","Not-mapped"
"aandaebm-1","aandaebm-1","Late Erythroid"
"aanehdkc-1","aanehdkc-1","RBC"
"aanhcpgc-1","aanhcpgc-1","Not-mapped"
"aaniibga-1","aaniibga-1","Plasma Cell"
"aanikcak-1","aanikcak-1","Neutrophil"
"aanjbnnj-1","aanjbnnj-1","Not-mapped"
"aankfmjn-1","aankfmjn-1","Not-mapped"
"aannoiin-1","aannoiin-1","Not-mapped"
"aaoaompk-1","aaoaompk-1","RBC"
"aaobbmjh-1","aaobbmjh-1","Late Erythroid"
"aaocacdc-1","aaocacdc-1","MEP"
"aaodbebp-1","aaodbebp-1","Late Erythroid"
"aaogilpn-1","aaogilpn-1","Late Erythroid"
"aaohnagp-1","aaohnagp-1","Late Erythroid"
"aaoickoi-1","aaoickoi-1","Not-mapped"
"aaomdgjm-1","aaomdgjm-1","Late Erythroid"
"aaonaepn-1","aaonaepn-1","Not-mapped"
"aaonpkgf-1","aaonpkgf-1","Not-mapped"
"aaoockbd-1","aaoockbd-1","Neutrophil"
"aaoohkja-1","aaoohkja-1","Not-mapped"
"aaoojkaf-1","aaoojkaf-1","Not-mapped"
"aaoolkcb-1","aaoolkcb-1","Not-mapped"
"aaopflaj-1","aaopflaj-1","Late Erythroid"
"aapapfpg-1","aapapfpg-1","RBC"
"aapbgnfj-1","aapbgnfj-1","Neutrophil"
"aapcdimn-1","aapcdimn-1","Plasma Cell"
"aapdcfmo-1","aapdcfmo-1","Not-mapped"
"aapepelb-1","aapepelb-1","RBC"
"aapfgoil-1","aapfgoil-1","Not-mapped"
"aapielpa-1","aapielpa-1","Not-mapped"
"aapjdafe-1","aapjdafe-1","Not-mapped"
"aapjhekm-1","aapjhekm-1","Late Erythroid"
"aapjilgk-1","aapjilgk-1","Late Erythroid"
"aapkcmkd-1","aapkcmkd-1","Not-mapped"
"aapkdghk-1","aapkdghk-1","Not-mapped"
"aapklllc-1","aapklllc-1","Neutrophil"
"aaplemfn-1","aaplemfn-1","Not-mapped"
"aaplgofb-1","aaplgofb-1","Not-mapped"
"aaplliel-1","aaplliel-1","Not-mapped"
"aapobonp-1","aapobonp-1","Late Erythroid"
"aapogfpp-1","aapogfpp-1","Not-mapped"
"aapppiml-1","aapppiml-1","Plasma Cell"
"abaanjfa-1","abaanjfa-1","Plasma Cell"
"ababinno-1","ababinno-1","Ba/Eo/Ma"
"abaddlab-1","abaddlab-1","Not-mapped"
"abagjmed-1","abagjmed-1","Not-mapped"
"abahcaaf-1","abahcaaf-1","Fibro-MSC"
"abajjiek-1","abajjiek-1","Not-mapped"
"abajjlll-1","abajjlll-1","Not-mapped"
"abakagjl-1","abakagjl-1","Not-mapped"
"abamncip-1","abamncip-1","Not-mapped"
"abankfbg-1","abankfbg-1","Not-mapped"
"abapfldg-1","abapfldg-1","Not-mapped"
"abapokhn-1","abapokhn-1","Not-mapped"
"abbbpepd-1","abbbpepd-1","Not-mapped"
