"","cell_id","group"
"adjaagnh-1","adjaagnh-1","VSMC"
"adjbnblo-1","adjbnblo-1","VSMC"
"adjffbhh-1","adjffbhh-1","SEC"
"adjjpdaf-1","adjjpdaf-1","SEC"
"adkkochp-1","adkkochp-1","Plasma Cell"
"adkpcajn-1","adkpcajn-1","Pro-B"
"admdombg-1","admdombg-1","THY1+ MSC"
"admkcnaa-1","admkcnaa-1","Plasma Cell"
"adnkkipg-1","adnkkipg-1","Early Myeloid Progenitor"
"adoadfpi-1","adoadfpi-1","APOD+ MSC"
"adongkpc-1","adongkpc-1","VSMC"
"adpjgjjk-1","adpjgjjk-1","APOD+ MSC"
"aeadlabl-1","aeadlabl-1","VSMC"
"aeaeocdc-1","aeaeocdc-1","VSMC"
"aeafhojb-1","aeafhojb-1","VSMC"
"aecgheci-1","aecgheci-1","VSMC"
"aechoill-1","aechoill-1","AEC"
"aecklfea-1","aecklfea-1","VSMC"
"aeckobee-1","aeckobee-1","Plasma Cell"
"aedonjbi-1","aedonjbi-1","Early Myeloid Progenitor"
"aeecgioj-1","aeecgioj-1","Plasma Cell"
"aeekihfg-1","aeekihfg-1","Plasma Cell"
"aeemcbll-1","aeemcbll-1","APOD+ MSC"
"aeenaabj-1","aeenaabj-1","RNAlo MSC"
"aefamhlf-1","aefamhlf-1","VSMC"
"aegaoapk-1","aegaoapk-1","VSMC"
"aeginbap-1","aeginbap-1","Early Myeloid Progenitor"
"aegjdnkc-1","aegjdnkc-1","Early Myeloid Progenitor"
"aegnhoif-1","aegnhoif-1","VSMC"
"aeiefgnh-1","aeiefgnh-1","RBC"
"aeiemcpl-1","aeiemcpl-1","VSMC"
"aeihcdde-1","aeihcdde-1","VSMC"
"aeikaano-1","aeikaano-1","APOD+ MSC"
"aejpolkb-1","aejpolkb-1","VSMC"
"aekagmln-1","aekagmln-1","VSMC"
"aekclgnh-1","aekclgnh-1","SEC"
"aekkffpa-1","aekkffpa-1","VSMC"
"aelmiijo-1","aelmiijo-1","VSMC"
"aeloccmm-1","aeloccmm-1","AEC"
"aemadeok-1","aemadeok-1","VSMC"
"aempkkko-1","aempkkko-1","VSMC"
"aengpplh-1","aengpplh-1","VSMC"
"aeobiehb-1","aeobiehb-1","VSMC"
"aeogjpnn-1","aeogjpnn-1","APOD+ MSC"
"aeookjli-1","aeookjli-1","VSMC"
"aepeidap-1","aepeidap-1","APOD+ MSC"
"aepenefm-1","aepenefm-1","Early Myeloid Progenitor"
"afablepk-1","afablepk-1","Plasma Cell"
"afbajapf-1","afbajapf-1","Early Myeloid Progenitor"
"afcckmid-1","afcckmid-1","Early Myeloid Progenitor"
"afchhmil-1","afchhmil-1","Early Myeloid Progenitor"
"afgnhnlo-1","afgnhnlo-1","Early Myeloid Progenitor"
"afgofbdh-1","afgofbdh-1","Early Myeloid Progenitor"
"afhhdkjp-1","afhhdkjp-1","Late Erythroid"
"afhnbcmc-1","afhnbcmc-1","Early Myeloid Progenitor"
"aficgcmj-1","aficgcmj-1","Early Myeloid Progenitor"
"afiledmg-1","afiledmg-1","Early Myeloid Progenitor"
"afiljdfb-1","afiljdfb-1","Neutrophil"
"afioopeh-1","afioopeh-1","Early Myeloid Progenitor"
"afkfppbc-1","afkfppbc-1","Early Myeloid Progenitor"
"aflghlhd-1","aflghlhd-1","VSMC"
"aflhoahh-1","aflhoahh-1","APOD+ MSC"
"aflnhjkk-1","aflnhjkk-1","Monocyte"
"afmcompb-1","afmcompb-1","RNAlo MSC"
"afmejhfb-1","afmejhfb-1","VSMC"
"afmijadm-1","afmijadm-1","Monocyte"
"afndkkkg-1","afndkkkg-1","SEC"
"afndneko-1","afndneko-1","Adipo-MSC"
"afnhlhgi-1","afnhlhgi-1","Osteoblast"
"afoiflpb-1","afoiflpb-1","Adipo-MSC"
"afphfpkb-1","afphfpkb-1","AEC"
"agaekpoc-1","agaekpoc-1","Adipo-MSC"
"agaidgkj-1","agaidgkj-1","Monocyte"
"agbajhmk-1","agbajhmk-1","Early Myeloid Progenitor"
"agbgoicm-1","agbgoicm-1","Adipo-MSC"
"agbpmcea-1","agbpmcea-1","APOD+ MSC"
"agdoklpd-1","agdoklpd-1","Plasma Cell"
"agdomohf-1","agdomohf-1","VSMC"
"ageepkmg-1","ageepkmg-1","VSMC"
"agegcnmj-1","agegcnmj-1","RNAlo MSC"
"agfhinmm-1","agfhinmm-1","RNAlo MSC"
"agflbhnc-1","agflbhnc-1","Adipo-MSC"
"agfmggai-1","agfmggai-1","Fibro-MSC"
"aggdidia-1","aggdidia-1","Early Myeloid Progenitor"
"aggfgldi-1","aggfgldi-1","Adipo-MSC"
"aggggbcb-1","aggggbcb-1","SEC"
"agghklpj-1","agghklpj-1","VSMC"
"aggjphif-1","aggjphif-1","CD4+ T-Cell"
"agglfpfj-1","agglfpfj-1","AEC"
"aggmgpak-1","aggmgpak-1","AEC"
"aggojbbh-1","aggojbbh-1","Plasma Cell"
"aghmhjcf-1","aghmhjcf-1","Osteoblast"
"aghmkihc-1","aghmkihc-1","Osteoblast"
"aghnhhgh-1","aghnhhgh-1","Osteoblast"
"agifkjgp-1","agifkjgp-1","APOD+ MSC"
"agjibbck-1","agjibbck-1","APOD+ MSC"
"agkjlhof-1","agkjlhof-1","Fibro-MSC"
"agkmcmna-1","agkmcmna-1","APOD+ MSC"
"agkohelh-1","agkohelh-1","APOD+ MSC"
"agkpcjan-1","agkpcjan-1","APOD+ MSC"
"agllbijm-1","agllbijm-1","APOD+ MSC"
