"","cell_id","group"
"aagkcmoc-1","aagkcmoc-1","Not-mapped"
"aaglepkk-1","aaglepkk-1","Late Erythroid"
"aaglgonn-1","aaglgonn-1","Late Erythroid"
"aagllaff-1","aagllaff-1","Late Erythroid"
"aagmehed-1","aagmehed-1","Not-mapped"
"aagnmeob-1","aagnmeob-1","Late Erythroid"
"aahadiee-1","aahadiee-1","Late Erythroid"
"aahchijp-1","aahchijp-1","Late Erythroid"
"aahchjal-1","aahchjal-1","Late Erythroid"
"aahclloe-1","aahclloe-1","Late Erythroid"
"aaheljph-1","aaheljph-1","Late Erythroid"
"aahhcehf-1","aahhcehf-1","Late Erythroid"
"aahmhidk-1","aahmhidk-1","Not-mapped"
"aahmhobn-1","aahmhobn-1","Early Myeloid Progenitor"
"aahmlblk-1","aahmlblk-1","Not-mapped"
"aahmmjdg-1","aahmmjdg-1","Late Erythroid"
"aahnlgdp-1","aahnlgdp-1","Early Myeloid Progenitor"
"aahnmjpb-1","aahnmjpb-1","Late Myeloid"
"aahpbjdi-1","aahpbjdi-1","Late Erythroid"
"aahpknon-1","aahpknon-1","Late Erythroid"
"aaiabojj-1","aaiabojj-1","Late Erythroid"
"aaiaghpe-1","aaiaghpe-1","GMP"
"aaibbhdl-1","aaibbhdl-1","Not-mapped"
"aaicajge-1","aaicajge-1","Not-mapped"
"aaicgaak-1","aaicgaak-1","Not-mapped"
"aaideiec-1","aaideiec-1","Not-mapped"
"aaielahj-1","aaielahj-1","Not-mapped"
"aaignojo-1","aaignojo-1","Not-mapped"
"aaiigmec-1","aaiigmec-1","GMP"
"aaiipmai-1","aaiipmai-1","Not-mapped"
"aaijjghm-1","aaijjghm-1","Late Erythroid"
"aaikpmcf-1","aaikpmcf-1","GMP"
"aaikpodi-1","aaikpodi-1","Late Erythroid"
"aainajpi-1","aainajpi-1","Not-mapped"
"aaipcngi-1","aaipcngi-1","Not-mapped"
"aaiphapb-1","aaiphapb-1","Late Erythroid"
"aajamkpg-1","aajamkpg-1","Early Myeloid Progenitor"
"aajbbdaf-1","aajbbdaf-1","Not-mapped"
"aajcnkdn-1","aajcnkdn-1","Late Erythroid"
"aajecpid-1","aajecpid-1","Late Erythroid"
"aajeehda-1","aajeehda-1","Not-mapped"
"aajfoebk-1","aajfoebk-1","Not-mapped"
"aajfooja-1","aajfooja-1","Not-mapped"
"aajfpeae-1","aajfpeae-1","Not-mapped"
"aajhbnmm-1","aajhbnmm-1","Not-mapped"
"aajhflba-1","aajhflba-1","Not-mapped"
"aajidhgi-1","aajidhgi-1","Not-mapped"
"aajjafie-1","aajjafie-1","CD4+ T-Cell"
"aajkglmc-1","aajkglmc-1","Not-mapped"
"aajmibmj-1","aajmibmj-1","Not-mapped"
"aajmnoij-1","aajmnoij-1","Not-mapped"
"aajocopf-1","aajocopf-1","Not-mapped"
"aajoimjg-1","aajoimjg-1","Early Myeloid Progenitor"
"aajopnoo-1","aajopnoo-1","Adipo-MSC"
"aakahpgf-1","aakahpgf-1","Not-mapped"
"aakapbcg-1","aakapbcg-1","RBC"
"aakbfpng-1","aakbfpng-1","Not-mapped"
"aakcmecm-1","aakcmecm-1","Late Erythroid"
"aakeenge-1","aakeenge-1","Not-mapped"
"aakfbgjl-1","aakfbgjl-1","Not-mapped"
"aakfhijm-1","aakfhijm-1","Not-mapped"
"aakfhjjh-1","aakfhjjh-1","RBC"
"aakfkebk-1","aakfkebk-1","RBC"
"aakghnne-1","aakghnne-1","Early Myeloid Progenitor"
"aakhfmbm-1","aakhfmbm-1","Late Myeloid"
"aakhgbhm-1","aakhgbhm-1","Not-mapped"
"aakhmpam-1","aakhmpam-1","Late Erythroid"
"aakibngg-1","aakibngg-1","Not-mapped"
"aakilpda-1","aakilpda-1","Not-mapped"
"aakjgloa-1","aakjgloa-1","Not-mapped"
"aakkabpo-1","aakkabpo-1","Plasma Cell"
"aakkebfi-1","aakkebfi-1","GMP"
"aaklcahd-1","aaklcahd-1","Not-mapped"
"aaklokmn-1","aaklokmn-1","Not-mapped"
"aakobfdl-1","aakobfdl-1","Osteoblast"
"aakpkpfi-1","aakpkpfi-1","Osteoblast"
"aalaaalp-1","aalaaalp-1","Plasma Cell"
"aalckdfj-1","aalckdfj-1","Not-mapped"
"aaldloon-1","aaldloon-1","GMP"
"aaldpkik-1","aaldpkik-1","Not-mapped"
"aalecikg-1","aalecikg-1","Not-mapped"
"aalgafcn-1","aalgafcn-1","GMP"
"aalgigoo-1","aalgigoo-1","Not-mapped"
"aalhdifn-1","aalhdifn-1","Plasma Cell"
"aalhdkci-1","aalhdkci-1","Not-mapped"
"aalhfcmc-1","aalhfcmc-1","Cycling HSPC"
