"","cell_id","group"
"aafogdag-1","aafogdag-1","B cell"
"aafogigg-1","aafogigg-1","ITGAM+ Uk"
"aafpbofl-1","aafpbofl-1","ITGAM+ Uk"
"aafphonn-1","aafphonn-1","Megakaryocyte?"
"aagbikee-1","aagbikee-1","Megakaryocyte?"
"aagcenkk-1","aagcenkk-1","Megakaryocyte?"
"aagehgbc-1","aagehgbc-1","Megakaryocyte?"
"aagemmbe-1","aagemmbe-1","MKI67+ Erythroblast"
"aagffeam-1","aagffeam-1","CD74+ Myeloid/immune progenitors/Monocyte/Macrophage"
"aagghmal-1","aagghmal-1","ELANE_high Neutrophil"
"aagkcmoc-1","aagkcmoc-1","MKI67+ Erythroblast"
"aaglepkk-1","aaglepkk-1","T_NK"
"aaglgonn-1","aaglgonn-1","Megakaryocyte?"
"aagllaff-1","aagllaff-1","MKI67+ Erythroblast"
"aagmehed-1","aagmehed-1","SPP1+ Osteoblast"
"aagnmeob-1","aagnmeob-1","Megakaryocyte?"
"aahadiee-1","aahadiee-1","CD74+ Uk"
"aahchijp-1","aahchijp-1","Megakaryocyte?"
"aahchjal-1","aahchjal-1","Uk"
"aahclloe-1","aahclloe-1","MKI67+ Erythroblast"
"aaheljph-1","aaheljph-1","Uk"
"aahhcehf-1","aahhcehf-1","MKI67+ Erythroblast"
"aahmhidk-1","aahmhidk-1","CTSK+ osteoclast?"
"aahmhobn-1","aahmhobn-1","Uk"
"aahmlblk-1","aahmlblk-1","B cell"
"aahmmjdg-1","aahmmjdg-1","MKI67+ Erythroblast"
"aahnlgdp-1","aahnlgdp-1","CD74+ Myeloid/immune progenitors/Monocyte/Macrophage"
"aahnmjpb-1","aahnmjpb-1","ITGAM+ ELANE_low Neutrophil"
"aahpbjdi-1","aahpbjdi-1","SPP1+ Osteoblast"
"aahpknon-1","aahpknon-1","PECAM1+ Endothelial/Plasma cell/HSC?/B cell"
"aaiabojj-1","aaiabojj-1","MKI67+ Erythroblast"
"aaiaghpe-1","aaiaghpe-1","ITGAM+ Uk"
"aaibbhdl-1","aaibbhdl-1","ITGAM+ Uk"
"aaicajge-1","aaicajge-1","SPP1+ Osteoblast"
"aaicgaak-1","aaicgaak-1","SEMA3A+ Endothelial/vSMC/Adipocyte"
"aaideiec-1","aaideiec-1","ITGAM+ Uk"
"aaielahj-1","aaielahj-1","Uk"
"aaignojo-1","aaignojo-1","Uk"
"aaiigmec-1","aaiigmec-1","Uk"
"aaiipmai-1","aaiipmai-1","DNTT+ Uk"
"aaijjghm-1","aaijjghm-1","DNTT+ Uk"
"aaikpmcf-1","aaikpmcf-1","CD74+ Uk"
"aaikpodi-1","aaikpodi-1","Uk"
"aainajpi-1","aainajpi-1","Uk"
"aaipcngi-1","aaipcngi-1","ITGAM+ Uk"
"aaiphapb-1","aaiphapb-1","Uk"
"aajamkpg-1","aajamkpg-1","Uk"
"aajbbdaf-1","aajbbdaf-1","Uk"
"aajcnkdn-1","aajcnkdn-1","MKI67+ Erythroblast"
"aajecpid-1","aajecpid-1","MKI67+ Erythroblast"
"aajeehda-1","aajeehda-1","Megakaryocyte?"
"aajfoebk-1","aajfoebk-1","Uk"
"aajfooja-1","aajfooja-1","Uk"
"aajfpeae-1","aajfpeae-1","Megakaryocyte?"
"aajhbnmm-1","aajhbnmm-1","MKI67+ Erythroblast"
"aajhflba-1","aajhflba-1","DNTT+ Uk"
"aajidhgi-1","aajidhgi-1","T_NK"
"aajjafie-1","aajjafie-1","T_NK"
"aajkglmc-1","aajkglmc-1","Uk"
"aajmibmj-1","aajmibmj-1","Uk"
"aajmnoij-1","aajmnoij-1","CTSK+ osteoclast?"
"aajocopf-1","aajocopf-1","PDGFRA/B+ MSC/Bone"
"aajoimjg-1","aajoimjg-1","Uk"
"aajopnoo-1","aajopnoo-1","PDGFRA/B+ MSC/Bone"
"aakahpgf-1","aakahpgf-1","Uk"
"aakapbcg-1","aakapbcg-1","Uk"
"aakbfpng-1","aakbfpng-1","ELANE_high Neutrophil"
"aakcmecm-1","aakcmecm-1","MKI67+ Erythroblast"
"aakeenge-1","aakeenge-1","ITGAM+ Uk"
"aakfbgjl-1","aakfbgjl-1","ITGAM+ Uk"
"aakfhijm-1","aakfhijm-1","ITGAM+ Uk"
"aakfhjjh-1","aakfhjjh-1","Uk"
"aakfkebk-1","aakfkebk-1","Uk"
"aakghnne-1","aakghnne-1","ELANE_high Neutrophil"
"aakhfmbm-1","aakhfmbm-1","ITGAM+ Uk"
"aakhgbhm-1","aakhgbhm-1","CTSK+ osteoclast?"
"aakhmpam-1","aakhmpam-1","MKI67+ Erythroblast"
"aakibngg-1","aakibngg-1","ITGAM+ ELANE_low Neutrophil"
"aakilpda-1","aakilpda-1","Uk"
"aakjgloa-1","aakjgloa-1","SPP1+ Osteoblast"
"aakkabpo-1","aakkabpo-1","CD74+ Myeloid/immune progenitors/Monocyte/Macrophage"
"aakkebfi-1","aakkebfi-1","ELANE_high Neutrophil"
"aaklcahd-1","aaklcahd-1","ELANE_high Neutrophil"
"aaklokmn-1","aaklokmn-1","ELANE_high Neutrophil"
"aakobfdl-1","aakobfdl-1","SPP1+ Osteoblast"
"aakpkpfi-1","aakpkpfi-1","PDGFRA/B+ MSC/Bone"
"aalaaalp-1","aalaaalp-1","SPP1+ Osteoblast"
"aalckdfj-1","aalckdfj-1","ELANE_high Neutrophil"
"aaldloon-1","aaldloon-1","ELANE_high Neutrophil"
"aaldpkik-1","aaldpkik-1","ELANE_high Neutrophil"
"aalecikg-1","aalecikg-1","ELANE_high Neutrophil"
"aalgafcn-1","aalgafcn-1","SPP1+ Osteoblast"
