"","cell_id","group"
"aakdlikh-1","aakdlikh-1","Plasma Cell"
"aakfckla-1","aakfckla-1","Not-mapped"
"aakfkfeh-1","aakfkfeh-1","Not-mapped"
"aakflbaf-1","aakflbaf-1","Not-mapped"
"aakgmdgk-1","aakgmdgk-1","Plasma Cell"
"aakhcfnc-1","aakhcfnc-1","AEC"
"aakipfed-1","aakipfed-1","Early Myeloid Progenitor"
"aaklfhgb-1","aaklfhgb-1","Not-mapped"
"aakokbmo-1","aakokbmo-1","Not-mapped"
"aalbegkj-1","aalbegkj-1","Not-mapped"
"aalckmak-1","aalckmak-1","Not-mapped"
"aaldbhmc-1","aaldbhmc-1","Not-mapped"
"aaldbjnb-1","aaldbjnb-1","RNAlo MSC"
"aalepaoe-1","aalepaoe-1","Fibro-MSC"
"aalfceio-1","aalfceio-1","Not-mapped"
"aalhllbm-1","aalhllbm-1","Not-mapped"
"aalhmaeo-1","aalhmaeo-1","Not-mapped"
"aaljjhcb-1","aaljjhcb-1","AEC"
"aalkeefl-1","aalkeefl-1","Not-mapped"
"aallogkc-1","aallogkc-1","Not-mapped"
"aalnpcla-1","aalnpcla-1","Not-mapped"
"aalplacj-1","aalplacj-1","Not-mapped"
"aamanfmp-1","aamanfmp-1","Not-mapped"
"aambkolb-1","aambkolb-1","Not-mapped"
"aamfampg-1","aamfampg-1","Not-mapped"
"aamfgpjg-1","aamfgpjg-1","Plasma Cell"
"aamfpdbo-1","aamfpdbo-1","Plasma Cell"
"aamhkpem-1","aamhkpem-1","Not-mapped"
"aamipmjf-1","aamipmjf-1","Not-mapped"
"aamlicml-1","aamlicml-1","Not-mapped"
"aamnbcdb-1","aamnbcdb-1","Not-mapped"
"aanahanp-1","aanahanp-1","Not-mapped"
"aandncph-1","aandncph-1","Not-mapped"
"aanendij-1","aanendij-1","Mature B"
"aanfjebo-1","aanfjebo-1","Pro-B"
"aaniacgf-1","aaniacgf-1","Not-mapped"
"aaniokib-1","aaniokib-1","RNAlo MSC"
"aanipbnc-1","aanipbnc-1","Not-mapped"
"aanlnden-1","aanlnden-1","Neutrophil"
"aanmaoii-1","aanmaoii-1","Not-mapped"
"aanmpobd-1","aanmpobd-1","Not-mapped"
"aanpedlj-1","aanpedlj-1","Not-mapped"
"aaocghkl-1","aaocghkl-1","Not-mapped"
"aaofibfk-1","aaofibfk-1","Not-mapped"
"aaogafna-1","aaogafna-1","Not-mapped"
"aaohdeef-1","aaohdeef-1","Plasma Cell"
"aaohijpi-1","aaohijpi-1","Not-mapped"
"aaoikmgi-1","aaoikmgi-1","Plasma Cell"
"aaojhoon-1","aaojhoon-1","Not-mapped"
"aaojjepp-1","aaojjepp-1","RNAlo MSC"
"aaonphop-1","aaonphop-1","Not-mapped"
"aaoohlbe-1","aaoohlbe-1","RNAlo MSC"
"aaoppekd-1","aaoppekd-1","Not-mapped"
"aapdkmpj-1","aapdkmpj-1","Not-mapped"
"aapgkjbb-1","aapgkjbb-1","GMP"
"aaphilig-1","aaphilig-1","Not-mapped"
"aapjkpeg-1","aapjkpeg-1","Early Myeloid Progenitor"
"aapmmpnh-1","aapmmpnh-1","Plasma Cell"
"aapnaopm-1","aapnaopm-1","Not-mapped"
"aapnbkia-1","aapnbkia-1","Not-mapped"
"aapohihe-1","aapohihe-1","Plasma Cell"
