cell_id,group
aapkpcoe-1,Ba/Eo/Ma
aapnonmo-1,Fibro-MSC
aapogjlp-1,pDC
aapoibnn-1,Mature B
aappmppi-1,pDC
ababjpkk-1,Fibro-MSC
ababkbci-1,CD4+ T-Cell
abaclkje-1,Osteo-MSC
abadcmbb-1,CD4+ T-Cell
abadiddf-1,HSC
abadpkpf-1,Plasma Cell
abakinam-1,RBC
abanbifd-1,RBC
abanllbj-1,SEC
abapggok-1,Osteo-MSC
abbdhmlh-1,Adipo-MSC
abbdipjl-1,Plasma Cell
abbepmne-1,CD8+ T-Cell
abbfejpe-1,HSC
abbifkif-1,CD8+ T-Cell
abboacac-1,VSMC
abcblcog-1,Plasma Cell
abcceaag-1,THY1+ MSC
abcdlcig-1,RBC
abcdmfjo-1,SEC
abcefghe-1,Plasma Cell
abcfcigc-1,Plasma Cell
abcfoomn-1,Pre-B
abcgdchj-1,Plasma Cell
abchlneb-1,Early Myeloid Progenitor
abcjpbhd-1,Osteo-MSC
abckdgdb-1,Fibro-MSC
abckikhm-1,Adipo-MSC
abckokoc-1,Pro-B
abclcmbd-1,CLP
abcmlhbk-1,Pro-B
abcnegnk-1,Macrophages
abcnnjpk-1,Pro-B
abdbjedm-1,Mature B
abdealno-1,pDC
abdedcpj-1,Pro-B
abdfeloh-1,Neutrophil
abdhfcei-1,pDC
abdhjmbo-1,Late Myeloid
abdhknnb-1,CLP
abdifmfp-1,Ba/Eo/Ma
abdipani-1,RBC
abdkecbb-1,CD8+ T-Cell
abdkigni-1,Neutrophil
abdnibgj-1,VSMC
abdpgabl-1,HSC
abeddaoj-1,CD8+ T-Cell
abefgadn-1,Pro-B
abefhike-1,Pro-B
abefmind-1,Fibro-MSC
abegccfn-1,Mature B
abeghpef-1,Late Myeloid
abeinmib-1,CD8+ T-Cell
abejgeff-1,THY1+ MSC
abekhmam-1,Late Erythroid
abelplgo-1,Erythroblast
abenhmhh-1,Late Erythroid
abeohjca-1,Monocyte
abfanhpp-1,Late Myeloid
abfanneh-1,Megakaryocyte
abfbbjpf-1,Neutrophil
abfcdmki-1,Macrophages
abfchddh-1,THY1+ MSC
abfdfbjf-1,Late Myeloid
abffidjc-1,RBC
abfgljfh-1,Late Myeloid
abfjdaoj-1,CLP
abfjjdda-1,Plasma Cell
abfjjeed-1,Neutrophil
abfkegfk-1,Pro-B
abflpedb-1,Pro-B
abflpleb-1,Pro-B
abfmacoh-1,VSMC
abfmpjcj-1,Fibro-MSC
